experiment_group,experiment_name,model,input_style,split_strategy,architecture,val_micro_f1,test_micro_f1,micro_f1_gap,val_auprc,test_auprc,auprc_gap
preprocess,preprocess_prompt_type_prompt,klue/roberta-base,type_prompt,detailed_stratified,sequence_classification,75.31860662701784,40.71964017991005,34.59896644710779,60.47233345212414,38.5460311653471,21.926302286777037
model,model_luke_large,studio-ousia/luke-large,typed_entity_marker_punct_question,detailed_stratified,entity_start,73.40639677924402,45.23255813953489,28.173838639709132,55.588312251633255,30.921298162342364,24.66701408929089
split,random_split,klue/roberta-base,entity_marker,random,sequence_classification,82.46062154108131,58.75288683602772,23.70773470505359,73.38958270942143,62.33191274039985,11.057669969021582
preprocess,preprocess_entity_marker,klue/roberta-base,entity_marker,detailed_stratified,sequence_classification,82.14742224115894,59.06656465187452,23.080857589284413,74.32471828192935,59.59909994888331,14.725618333046043
split,label_stratified_split,klue/roberta-base,entity_marker,label_stratified,sequence_classification,82.06764518187619,60.39239730226855,21.67524787960764,75.74593404175941,62.57338124840478,13.172552793354633
split,detailed_stratified_split,klue/roberta-base,entity_marker,detailed_stratified,sequence_classification,81.82784272051009,61.283389622351855,20.544453098158236,75.91901316511934,62.67469345228813,13.244319712831206
preprocess,preprocess_prompt_s_sep_o,klue/roberta-base,s_sep_o,detailed_stratified,sequence_classification,81.95887216451135,62.306156916935365,19.652715247575983,74.96274753736742,63.28699210926136,11.675755428106058
preprocess,preprocess_typed_entity_marker,klue/roberta-base,typed_entity_marker,detailed_stratified,sequence_classification,83.20610687022901,64.00122081489394,19.204886055335066,77.38930147414658,66.08956885358637,11.299732620560206
preprocess,preprocess_entity_marker_punct,klue/roberta-base,entity_marker_punct,detailed_stratified,sequence_classification,83.80790480237994,64.68578220175309,19.122122600626852,79.36769436787469,67.15028597640871,12.21740839146598
model,model_bert_base,klue/bert-base,typed_entity_marker_punct_question,detailed_stratified,entity_start,84.76170121820901,66.93839159742906,17.823309620779952,82.53364283954768,72.18899847858383,10.344644360963855
model,model_roberta_base,klue/roberta-base,typed_entity_marker_punct_question,detailed_stratified,entity_start,85.3946813,67.6047721,17.789909199999997,82.90905641,73.30548999,9.603566420000007
preprocess,preprocess_prompt_s_and_o,klue/roberta-base,s_and_o,detailed_stratified,sequence_classification,82.84982935153583,65.30674846625767,17.543080885278158,76.27983895819858,66.31198949225876,9.967849465939821
preprocess,preprocess_typed_entity_marker_punct,klue/roberta-base,typed_entity_marker_punct,detailed_stratified,sequence_classification,83.31918505942275,66.1219725707616,17.19721248866115,78.30847983451079,68.1004401694727,10.208039665038086
preprocess,preprocess_typed_entity_marker_punct_s_and_o,klue/roberta-base,typed_entity_marker_punct_s_and_o,detailed_stratified,sequence_classification,84.4340624336377,67.27847149089816,17.15559094273955,79.40762023173984,68.55585006081174,10.851770170928106
preprocess,preprocess_prompt_question,klue/roberta-base,question,detailed_stratified,sequence_classification,82.48563524154076,65.47044632086852,17.015188920672244,75.7662842128126,67.13077291338158,8.635511299431016
preprocess,preprocess_entity_marker_punct_s_and_o,klue/roberta-base,entity_marker_punct_s_and_o,detailed_stratified,sequence_classification,82.50741211351122,65.7965796579658,16.71083245554543,76.29288245765056,67.26711891527532,9.025763542375245
preprocess,preprocess_typed_entity_marker_punct_question,klue/roberta-base,typed_entity_marker_punct_question,detailed_stratified,sequence_classification,84.19265860386166,67.7355921948268,16.457066409034866,79.68753962301255,71.4457338866782,8.241805736334356
preprocess,preprocess_entity_marker_punct_question,klue/roberta-base,entity_marker_punct_question,detailed_stratified,sequence_classification,83.40407470288625,67.2209026128266,16.183172090059642,78.28312507521373,69.5087462371145,8.774378838099238
architecture,architecture_cls,klue/roberta-large,typed_entity_marker_punct_question,detailed_stratified,cls,86.22394154309048,71.41479099678456,14.809150546305915,84.83921576032107,76.92341053669539,7.915805223625682
architecture,architecture_entity_start_end,klue/roberta-large,typed_entity_marker_punct_question,detailed_stratified,entity_start_end,86.0051993067591,72.44042728019721,13.564772026561883,84.76515882252563,78.97126544264876,5.793893379876877
model,model_roberta_large,klue/roberta-large,typed_entity_marker_punct_question,detailed_stratified,entity_start,86.0051993067591,72.44042728019721,13.564772026561883,84.76515882252563,78.97126544264876,5.793893379876877
architecture,architecture_entity_start,klue/roberta-large,typed_entity_marker_punct_question,detailed_stratified,entity_start,86.03400043038519,73.03689687795648,12.997103552428712,84.38355434021008,77.26449628396172,7.119058056248363
